"Time";"pd/o/X";"pd/o/Y";"pd/a/X";"pd/a/Y";"pd/b/X";"pd/b/Y";"cd/o/X";"cd/o/Y";"cd/a/X";"cd/a/Y";"cd/b/X";"cd/b/Y";"ep/o/X";"ep/o/Y";"ep/a/X";"ep/a/Y";"ep/b/X";"ep/b/Y";"cou/o/X";"cou/o/Y";"cou/a/X";"cou/a/Y";"cou/b/X";"cou/b/Y";"cd/o/X";"cd/o/Y";"cd/a/X";"cd/a/Y";"cd/b/X";"cd/b/Y";"pd/o/X";"pd/o/Y";"pd/a/X";"pd/a/Y";"pd/b/X";"pd/b/Y";"pd/o/X";"pd/o/Y";"pd/a/X";"pd/a/Y";"pd/b/X";"pd/b/Y";"pd/o/X";"pd/o/Y";"pd/a/X";"pd/a/Y";"pd/b/X";"pd/b/Y";"pd/o/X";"pd/o/Y";"pd/a/X";"pd/a/Y";"pd/b/X";"pd/b/Y";"pd/o/X";"pd/o/Y";"pd/a/X";"pd/a/Y";"pd/b/X";"pd/b/Y";"pd/o/X";"pd/o/Y";"pd/a/X";"pd/a/Y";"pd/b/X";"pd/b/Y";"Angle 183/o/X";"Angle 183/o/Y";"Angle 183/a/X";"Angle 183/a/Y";"Angle 183/b/X";"Angle 183/b/Y";"pd/o/X";"pd/o/Y";"pd/a/X";"pd/a/Y";"pd/b/X";"pd/b/Y";"pd/o/X";"pd/o/Y";"pd/a/X";"pd/a/Y";"pd/b/X";"pd/b/Y";"pd/o/X";"pd/o/Y";"pd/a/X";"pd/a/Y";"pd/b/X";"pd/b/Y";"pd/o/X";"pd/o/Y";"pd/a/X";"pd/a/Y";"pd/b/X";"pd/b/Y"
"1,375";"-51";"476";"-216,6917";"261,3658";"-38,36572";"522,4858";"-222,3583";"262,144";"-521,7152";"106,6769";"-134";"377";"-523";"106";"-521";"-201";"-217,3967";"262,144";"-466,5734";"-144,7552";"-476,6433";"-69,23077";"-735";"-97";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1,417";"-57";"477";"-218,2839";"262,1619";"-42,34631";"522,4858";"-218";"262";"-525,023";"108,3308";"-137";"378";"-525";"107";"-522";"-200";"-220,7045";"260,4901";"-469,0909";"-152,3077";"-476,6433";"-69,23077";"-736";"-96";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1,458";"-64";"475";"-221";"265";"-51,10327";"523,282";"-221";"264";"-529,9847";"108,3308";"-140";"379";"-528";"107";"-523";"-199";"-224,0123";"265,4518";"-466,5734";"-142,2378";"-484,1958";"-59,16083";"-738";"-96";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1,5";"-70";"472";"-223";"267";"-58,26819";"520,8937";"-223";"266";"-531,6386";"108,3308";"-140";"379";"-530";"107";"-525";"-199";"-220,7045";"267,1057";"-466,5734";"-149,7902";"-486,7133";"-66,71332";"-740";"-95";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1,542";"-75";"470";"-224";"268";"-62,24872";"520,0975";"-224";"267";"-531,6386";"109,9847";"-142";"379";"-532";"107";"-527";"-198";"-222,3583";"267,1057";"-466,5734";"-139,7203";"-484,1958";"-56,64337";"-742";"-95";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1,583";"-79,76282";"471,5356";"-226";"269";"-71,00568";"523,282";"-226";"268";"-536,6003";"106,6769";"-144";"379";"-534";"107";"-529";"-198";"-224,0123";"270,4135";"-476,6433";"-129,6503";"-486,7133";"-49,09088";"-744";"-95";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1,625";"-85,33551";"472,3317";"-242,9629";"215,1921";"-74,98633";"524,8741";"-242,5175";"215,2448";"-539,9081";"108,3308";"-146";"379";"-537";"107";"-531";"-197";"-242,5175";"212,7273";"-474,1259";"-147,2727";"-486,7133";"-54,12592";"-747";"-95";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1,667";"-98,07312";"461,9824";"-238,1863";"215,9882";"-86,13159";"520,0975";"-237,4825";"215,2448";"-541,562";"109,9847";"-150";"379";"-540";"107";"-535";"-196";"-237,4825";"215,2448";"-486,7133";"-142,2378";"-489,2308";"-56,64337";"-750";"-94";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1,708";"-104";"462";"-247,7395";"222,357";"-93,29651";"517,7092";"-247,5524";"222,7972";"-544,8698";"109,9847";"-152";"379";"-542";"108";"-537";"-195";"-247,5524";"222,7972";"-491,7483";"-142,2378";"-491,7483";"-46,57343";"-752";"-93";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1,75";"-109";"460";"-247,7395";"217,5804";"-98,8692";"519,3015";"-247,5524";"217,7622";"-531,6386";"109,9847";"-155";"380";"-531,6386";"109,9847";"-539";"-193";"-247,5524";"217,7622";"-486,7133";"-144,7552";"-491,7483";"-54,12592";"-755";"-92";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
